Work Item Type,Title 1,Title 2,Title 3,Title 4,Area Path,Iteration Path
Knowledge Area,,(5) Project Scope Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,(5.5) Validate Scope,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Work Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Scope Verification Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Scope Statement,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Requirements Traceability Matrix,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Acceptance Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,(5.6) Perform Integrated Change Control,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Log,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Approved Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Project Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Project Documents,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(6) Project Schedule Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,6.6 Control Schedule,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Schedule Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Project Schedule,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Variance Analysis Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Forecasts,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Milestone Trend Analysis,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(7) Project Cost Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,7.4 Control Cost,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Cost Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Cost Baseline,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Variance Analysis Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Forecasts,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Financial Audits or Reviews,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(8) Project Quality Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,8.3 Control Quality,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Control Measurements,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Defect Repair Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quality Audits,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Quality Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(9) Project Resource Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,9.6 Control Resources,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Resource Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Log Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Resource Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Document Updates,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(10) Project Communications Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,10.3 Monitor Communications,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Communication Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Communication Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Engagement Assessments,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Meeting Minutes and Records,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
